Id,SalePrice
1461,120894.40848060025
1462,151849.02479073236
1463,187493.20966024982
1464,189320.80184248736
1465,205135.17784719795
1466,182089.77290110182
1467,172125.6734085015
1468,176647.47626058638
1469,175300.94446333716
1470,130713.26417794608
1471,185402.57414783904
1472,93107.72647032898
1473,94784.13879539612
1474,152257.9830895348
1475,147356.50919417903
1476,399476.7345335349
1477,248717.72669812528
1478,304152.0465245145
1479,282410.99098992755
1480,443749.3211943353
1481,331730.622235351
1482,207283.6786027912
1483,173184.58828827363
1484,173389.9447493956
1485,172271.53644085195
1486,203549.40083784686
1487,337113.2107927692
1488,250174.21656088272
1489,211244.11596147387
1490,192538.5109672286
1491,189595.4826103216
1492,105796.40784647882
1493,164168.25322564202
1494,308267.93906946253
1495,299783.2940622801
1496,214753.1841273482
1497,190405.5334679962
1498,152625.71728530354
1499,151892.98300947985
1500,164988.07109167133
1501,172843.5776660019
1502,165536.80393345346
1503,273186.8174329004
1504,236258.53501587716
1505,216469.69277892474
1506,183939.06279319053
1507,225634.30239313518
1508,207307.1733915599
1509,166372.51059712918
1510,154690.55667417074
1511,152614.9703535399
1512,160764.3033408361
1513,141593.53313023134
1514,152772.91586277634
1515,166340.55047263764
1516,149318.61840390484
1517,148724.84909453042
1518,132520.91553689324
1519,211354.8659102122
1520,141363.40572486617
1521,143842.5413377546
1522,157108.27030371054
1523,122821.30200947588
1524,128105.0324924355
1525,113986.54614833757
1526,126209.57211488986
1527,115843.58685783113
1528,137681.88959097746
1529,144627.71829979855
1530,162516.518058244
1531,114717.7109656503
1532,102720.57333016435
1533,135003.64890964254
1534,114255.3650599697
1535,158175.01096422225
1536,117965.06652413573
1537,72137.36658389702
1538,173136.2811353206
1539,233677.27491518066
1540,96755.80474042508
1541,133274.59538967512
1542,138718.91324097535
1543,198434.37837384632
1544,82603.13025446088
1545,93594.56197869101
1546,108088.75674783732
1547,127137.2961507618
1548,118608.40442062728
1549,101083.00482856669
1550,138256.16274577146
1551,118807.29129944464
1552,127258.64404363398
1553,132073.30403851185
1554,103236.74978538965
1555,198993.13026071145
1556,124313.49680831758
1557,135350.2279790377
1558,105880.8310336308
1559,124902.89225889322
1560,149709.50418825197
1561,151849.59448110795
